procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 2142168 120473408 5533888 120307728    1    1     4     4    0    0  1  1 98  0  0
 1  0 2142168 120354848 5533896 120308048    0    0     0     0 2558 3258  2  1 97  0  0
 0  0 2142168 120149968 5533896 120307896    0    0     0     0 1998 2219  2  1 97  0  0
 2  0 2142168 120069160 5533896 120307856    0    0     0  8472 2426 3148  2  1 97  0  0
 0  0 2142168 119894448 5533896 120307968    0    0     0     0 2591 2578  4  1 96  0  0
 3  0 2142168 119814928 5533896 120308480    0    0     0   224 2749 3229  3  1 96  0  0
 0  0 2142168 119641584 5533896 120308592    0    0     0     0 2766 2956  3  1 97  0  0
 1  0 2142168 119478368 5533896 120308464    0    0     0     0 2852 3517  3  1 96  0  0
 2  0 2142168 119368312 5533896 120308984    0    0     0 16208 4027 4094  3  1 97  0  0
 0  0 2142168 119212848 5533896 120309208    0    0     0     0 2163 2287  2  1 97  0  0
 2  0 2142168 119078680 5533896 120310144    0    0     0   168 3474 3538  4  1 95  0  0
 2  0 2142168 118946752 5533896 120311424    0    0     0     0 2806 3439  3  1 96  0  0
 3  0 2142168 118814816 5533896 120311712    0    0     0     0 1920 1986  3  1 96  0  0
21  0 2142168 118162512 5533896 120312016    0    0     0     0 3960 3239 11  2 87  0  0
20  0 2142168 116759048 5533896 120312032    0    0     0     0 7650 2503 35  3 63  0  0
25  0 2142168 114748384 5533896 120311776    0    0     0   116 7178 1916 36  2 62  0  0
40  0 2142168 113674064 5533896 120312736    0    0     0     0 10790 1880 62  3 35  0  0
39  0 2142168 112170064 5533896 120312912    0    0     0     4 11611 1968 70  3 27  0  0
19  0 2142168 111243008 5533896 120312240    0    0     0     0 9703 2021 58  2 40  0  0
28  0 2142168 111082896 5533896 120312912    0    0     0     0 7758 1649 44  2 55  0  0
24  0 2142168 111156752 5533896 120312280    0    0     0     0 7302 1616 43  1 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 2142168 111085968 5533896 120312936    0    0     0    36 4711 1645 23  2 75  0  0
41  0 2142168 110676256 5533896 120312864    0    0     0     0 10594 2297 63  2 34  0  0
38  0 2142168 110628416 5533896 120312896    0    0     0     0 11495 1943 70  2 28  0  0
36  0 2142168 110720680 5533896 120313168    0    0     0     0 11090 2029 66  2 32  0  0
32  0 2142168 110342000 5533896 120313200    0    0     0     0 9804 1787 60  1 39  0  0
26  0 2142168 110372808 5533896 120313248    0    0     0    16 8318 1596 51  1 48  0  0
23  0 2142168 110261176 5533896 120313216    0    0     0     0 7465 1235 45  1 54  0  0
24  0 2142168 110122240 5533896 120313120    0    0     0     0 6942 1248 39  1 60  0  0
24  0 2142168 109948992 5533896 120313008    0    0     0     0 10245 1864 63  2 35  0  0
40  0 2142168 109946816 5533896 120313472    0    0     0     0 9337 1894 55  2 44  0  0
40  0 2142168 109930352 5533896 120313264    0    0     0     0 11655 2131 70  2 28  0  0
23  0 2142168 109957232 5533896 120313464    0    0     0    12 9885 1738 59  2 39  0  0
